iter	Passed	Remaining
234	1040	3387
235	1042	3375
236	1044	3363
237	1046	3350
238	1048	3337
239	1050	3327
240	1055	3322
241	1058	3314
242	1061	3306
243	1063	3295
244	1067	3288
245	1069	3277
246	1071	3267
247	1073	3255
248	1075	3243
249	1077	3231
250	1079	3219
251	1081	3210
252	1084	3202
253	1086	3190
254	1088	3178
255	1089	3167
256	1091	3155
257	1093	3144
258	1095	3135
259	1098	3126
260	1100	3115
261	1102	3105
262	1104	3094
263	1105	3083
264	1107	3072
265	1109	3062
266	1112	3054
267	1114	3044
268	1116	3034
269	1118	3023
270	1120	3013
271	1122	3003
272	1124	2994
273	1127	2988
274	1129	2978
275	1131	2968
276	1133	2958
277	1135	2948
278	1137	2938
279	1139	2929
280	1142	2922
281	1144	2913
282	1146	2904
283	1148	2894
284	1150	2885
285	1151	2875
286	1154	2867
287	1157	2860
288	1158	2851
289	1160	2841
290	1162	2832
291	1164	2823
292	1166	2814
293	1168	2805
294	1171	2799
295	1173	2790
296	1175	2781
297	1176	2772
298	1178	2763
299	1180	2754
300	1182	2745
301	1184	2738
302	1187	2731
303	1189	2723
304	1191	2715
305	1193	2706
306	1195	2697
307	1196	2688
308	1198	2680
309	1201	2673
310	1203	2665
311	1204	2657
312	1206	2648
313	1208	2640
314	1210	2632
315	1214	2628
316	1218	2625
317	1220	2617
318	1222	2609
319	1223	2600
320	1225	2592
321	1227	2584
322	1229	2577
323	1233	2573
324	1235	2566
325	1237	2558
326	1239	2551
327	1241	2543
328	1243	2535
329	1245	2528
330	1247	2522
331	1249	2514
332	1251	2507
333	1253	2499
334	1255	2492
335	1257	2485
336	1259	2478
337	1261	2470
338	1263	2464
339	1268	2462
340	1270	2455
341	1272	2447
342	1274	2441
343	1276	2435
344	1279	2428
345	1280	2420
346	1282	2413
347	1284	2406
348	1286	2399
349	1287	2391
350	1290	2385
351	1292	2379
352	1294	2372
353	1296	2365
354	1298	2358
355	1300	2351
356	1301	2344
357	1303	2337
358	1306	2332
359	1308	2326
360	1310	2319
361	1311	2312
362	1313	2305
363	1315	2298
364	1317	2291
365	1319	2285
366	1321	2279
367	1323	2273
368	1325	2266
369	1327	2259
370	1329	2253
371	1331	2246
372	1332	2240
373	1335	2234
374	1337	2229
375	1339	2223
376	1341	2216
377	1343	2210
378	1345	2204
379	1347	2198
380	1349	2191
381	1352	2187
382	1354	2181
383	1355	2174
384	1357	2168
385	1359	2162
386	1361	2155
387	1362	2149
388	1365	2144
389	1367	2139
390	1369	2132
391	1371	2126
392	1372	2120
393	1374	2114
394	1376	2108
395	1378	2102
396	1380	2096
397	1382	2091
398	1385	2086
399	1386	2080
400	1388	2074
401	1390	2068
402	1392	2062
403	1394	2057
404	1397	2052
405	1398	2046
406	1400	2040
407	1402	2034
408	1404	2028
409	1405	2023
410	1407	2017
411	1410	2012
412	1412	2007
413	1414	2002
414	1416	1996
415	1418	1991
416	1420	1985
417	1421	1979
418	1423	1974
419	1426	1970
420	1428	1964
421	1430	1959
422	1432	1953
423	1434	1948
424	1436	1943
425	1438	1937
426	1440	1933
427	1442	1927
428	1444	1922
429	1446	1916
430	1448	1911
431	1449	1906
432	1451	1900
433	1453	1895
434	1456	1891
435	1458	1886
436	1460	1881
437	1461	1875
438	1463	1870
439	1465	1864
440	1467	1859
441	1469	1855
442	1471	1850
443	1473	1845
444	1475	1840
445	1477	1834
446	1478	1829
447	1480	1824
448	1482	1819
449	1485	1815
450	1487	1810
451	1489	1805
452	1491	1800
453	1492	1795
454	1494	1790
455	1496	1785
456	1498	1780
457	1501	1776
458	1503	1772
459	1505	1766
460	1506	1761
461	1508	1756
462	1510	1751
463	1512	1746
464	1514	1742
465	1517	1738
466	1518	1733
467	1520	1728
468	1522	1724
469	1524	1719
470	1526	1714
471	1528	1710
472	1531	1706
473	1533	1701
474	1534	1696
475	1536	1691
476	1538	1686
477	1540	1681
478	1541	1677
479	1544	1672
480	1546	1669
481	1548	1664
482	1550	1659
483	1552	1654
484	1554	1650
485	1555	1645
486	1557	1640
487	1559	1636
488	1562	1632
489	1563	1627
490	1565	1623
491	1567	1618
492	1569	1613
493	1571	1609
494	1573	1604
495	1576	1601
496	1578	1597
497	1580	1593
498	1582	1588
499	1584	1584
500	1586	1579
501	1588	1575
502	1591	1572
503	1593	1567
504	1594	1563
505	1596	1558
506	1599	1555
507	1601	1550
508	1603	1546
509	1606	1543
510	1609	1540
511	1611	1535
512	1613	1531
513	1615	1527
514	1617	1522
515	1620	1520
516	1623	1516
517	1625	1512
518	1627	1508
519	1629	1504
520	1631	1499
521	1633	1496
522	1636	1492
523	1638	1488
524	1640	1483
525	1642	1479
526	1643	1475
527	1645	1471
528	1647	1466
529	1649	1462
530	1652	1459
531	1654	1455
532	1655	1450
533	1657	1446
534	1659	1442
535	1661	1438
536	1663	1434
537	1666	1430
538	1668	1426
539	1669	1422
540	1671	1418
541	1673	1414
542	1675	1410
543	1677	1406
544	1680	1402
545	1682	1398
546	1684	1394
547	1685	1390
548	1687	1386
549	1689	1382
550	1691	1378
551	1693	1374
552	1696	1371
553	1697	1366
554	1699	1362
555	1701	1358
556	1703	1354
557	1705	1350
558	1707	1347
559	1710	1343
560	1712	1340
561	1714	1336
562	1718	1333
563	1720	1329
564	1722	1325
565	1724	1322
566	1726	1318
567	1728	1314
568	1730	1310
569	1732	1306
570	1734	1302
571	1736	1298
572	1738	1295
573	1741	1292
574	1743	1288
575	1745	1284
576	1747	1280
577	1749	1276
578	1750	1273
579	1752	1269
580	1755	1266
581	1757	1262
582	1759	1258
583	1761	1254
584	1763	1250
585	1764	1246
586	1766	1242
587	1768	1239
588	1771	1236
589	1773	1232
590	1775	1228
591	1777	1224
592	1778	1220
593	1780	1217
594	1782	1213
595	1784	1209
596	1787	1206
597	1789	1202
598	1790	1198
599	1792	1195
600	1794	1191
601	1796	1187
602	1798	1184
603	1801	1181
604	1803	1177
605	1805	1173
606	1807	1170
607	1809	1166
608	1811	1162
609	1813	1159
610	1815	1156
611	1817	1152
612	1819	1148
613	1821	1145
614	1823	1141
615	1825	1137
616	1826	1134
617	1829	1130
618	1831	1127
619	1833	1123
620	1835	1120
621	1837	1116
622	1839	1112
623	1840	1109
624	1843	1105
625	1845	1102
626	1848	1099
627	1850	1095
628	1851	1092
629	1853	1088
630	1855	1085
631	1857	1081
632	1859	1078
633	1861	1074
634	1863	1071
635	1865	1067
636	1866	1063
637	1868	1060
638	1870	1056
639	1872	1053
640	1875	1050
641	1877	1046
642	1879	1043
643	1880	1039
644	1882	1036
645	1884	1032
646	1886	1029
647	1889	1026
648	1891	1022
649	1893	1019
650	1894	1015
651	1896	1012
652	1898	1008
653	1900	1005
654	1901	1001
655	1904	998
656	1906	995
657	1908	991
658	1910	988
659	1912	985
660	1914	981
661	1916	978
662	1920	976
663	1922	972
664	1924	969
665	1926	966
666	1928	962
667	1930	959
668	1931	955
669	1934	952
670	1936	949
671	1938	946
672	1940	942
673	1942	939
674	1944	936
675	1946	932
676	1949	929
677	1951	926
678	1952	923
679	1954	919
680	1956	916
681	1958	913
682	1960	909
683	1962	906
684	1964	903
685	1966	900
686	1968	897
687	1970	893
688	1972	890
689	1974	886
690	1975	883
691	1978	880
692	1980	877
693	1983	874
694	1985	871
695	1987	868
696	1989	864
697	1991	861
698	1993	858
699	1995	855
700	1997	851
701	1999	848
702	2001	845
703	2003	842
704	2005	839
705	2007	835
706	2009	832
707	2011	829
708	2013	826
709	2015	823
710	2017	819
711	2018	816
712	2020	813
713	2023	810
714	2025	807
715	2027	804
716	2029	800
717	2031	797
718	2032	794
719	2034	791
720	2036	787
721	2039	785
722	2041	781
723	2042	778
724	2044	775
725	2046	772
726	2048	769
727	2049	765
728	2052	763
729	2054	759
730	2056	756
731	2058	753
732	2059	750
733	2061	747
734	2063	743
735	2065	740
736	2068	737
737	2070	734
738	2071	731
739	2073	728
740	2075	725
741	2077	722
742	2079	719
743	2080	716
744	2083	713
745	2085	710
746	2087	707
747	2089	703
748	2091	700
749	2093	697
750	2095	694
751	2098	691
752	2100	688
753	2101	685
754	2103	682
755	2105	679
756	2107	676
757	2109	673
758	2111	670
759	2114	667
760	2116	664
761	2118	661
762	2119	658
763	2121	655
764	2123	652
765	2125	649
766	2128	646
767	2130	643
768	2131	640
769	2133	637
770	2135	634
771	2137	631
772	2139	628
773	2140	625
774	2143	622
775	2145	619
776	2147	616
777	2149	613
778	2151	610
779	2153	607
780	2154	604
781	2156	601
782	2159	598
783	2161	595
784	2163	592
785	2165	589
786	2167	586
787	2168	583
788	2170	580
789	2173	577
790	2175	574
791	2177	571
792	2179	568
793	2180	565
794	2182	562
795	2184	559
796	2186	556
797	2188	554
798	2191	551
799	2193	548
800	2195	545
801	2197	542
802	2199	539
803	2201	536
804	2203	533
805	2205	530
806	2207	528
807	2209	525
808	2211	522
809	2213	519
810	2215	516
811	2218	513
812	2220	510
813	2222	507
814	2224	504
815	2226	502
816	2228	499
817	2229	496
818	2231	493
819	2234	490
820	2236	487
821	2238	484
822	2239	481
823	2241	478
824	2243	475
825	2245	472
826	2247	470
827	2250	467
828	2251	464
829	2253	461
830	2255	458
831	2257	455
832	2259	452
833	2261	450
834	2264	447
835	2266	444
836	2268	441
837	2270	438
838	2271	435
839	2273	433
840	2275	430
841	2277	427
842	2280	424
843	2281	421
844	2283	418
845	2285	416
846	2288	413
847	2290	410
848	2292	407
849	2294	404
850	2296	402
851	2298	399
852	2300	396
853	2302	393
854	2303	390
855	2305	387
856	2308	385
857	2310	382
858	2312	379
859	2314	376
860	2315	373
861	2317	371
862	2319	368
863	2321	365
864	2324	362
865	2326	359
866	2327	357
867	2329	354
868	2331	351
869	2333	348
870	2335	345
871	2337	343
872	2339	340
873	2341	337
874	2343	334
875	2346	332
876	2348	329
877	2350	326
878	2354	324
879	2356	321
880	2358	318
881	2360	315
882	2361	312
883	2363	310
884	2365	307
885	2369	304
886	2372	302
887	2374	299
888	2377	296
889	2379	294
890	2381	291
891	2384	288
892	2386	285
893	2388	283
894	2390	280
895	2392	277
896	2393	274
897	2395	272
898	2398	269
899	2400	266
900	2402	263
901	2404	261
902	2405	258
903	2407	255
904	2409	252
905	2411	250
906	2414	247
907	2416	244
908	2418	242
909	2420	239
910	2421	236
911	2423	233
912	2425	231
913	2428	228
914	2430	225
915	2432	223
916	2434	220
917	2435	217
918	2437	214
919	2439	212
920	2441	209
921	2444	206
922	2445	204
923	2447	201
924	2449	198
925	2451	195
926	2453	193
927	2454	190
928	2457	187
929	2459	185
930	2461	182
931	2463	179
932	2465	177
933	2467	174
934	2469	171
935	2471	169
936	2475	166
937	2477	163
938	2478	161
939	2480	158
940	2482	155
941	2484	152
942	2486	150
943	2488	147
944	2490	144
945	2492	142
946	2494	139
947	2496	136
948	2497	134
949	2499	131
950	2501	128
951	2504	126
952	2506	123
953	2508	120
954	2510	118
955	2512	115
956	2513	112
957	2515	110
958	2518	107
959	2520	105
960	2522	102
961	2524	99
962	2526	97
963	2527	94
964	2529	91
965	2531	89
966	2534	86
967	2536	83
968	2537	81
969	2539	78
970	2541	75
971	2543	73
972	2544	70
973	2550	68
974	2552	65
975	2554	62
976	2556	60
977	2558	57
978	2560	54
979	2561	52
980	2564	49
981	2566	47
982	2568	44
983	2570	41
984	2572	39
985	2574	36
986	2576	33
987	2579	31
988	2581	28
989	2583	26
990	2585	23
991	2586	20
992	2588	18
993	2590	15
994	2592	13
995	2595	10
996	2597	7
997	2598	5
998	2600	2
999	2602	0
